idpartners,name,shorthand
1,"KE Adventure Travel",KE
2,EXPLORE!,EXPL
3,Ramblers,RAMB
4,"Terres d'Aventure",TDAV
5,"Nomade Aventure",NOM
6,"Mediterrana Tours",MED
7,"biss Aktivreisen",BISS
8,HEADWATER,HEAD
9,"A.C.E. Adventure",ACE
10,"Schulz Activ Reisen",SCH
11,Sawadee,SAW
12,Djoser,DJOS
13,"Les Covoyageurs",LCOV
